Time (min),A1,A2,A3,B1,B2,B3
10,2419.654791,1610.130981,2062.511933,1547.630981,2782.970487,2475.98464
20,2626.296838,1882.384389,2221.254821,1687.32625,3722.115406,2747.387225
30,2819.834084,2135.452745,2349.245849,1761.745849,3780.953166,2633.583198
40,2633.301322,2417.392231,2540.278066,2008.301322,3946.554334,3392.337467
50,2657.060424,2128.106232,2669.190148,1750.138521,4518.216122,3351.549456
60,2572.487113,2359.721156,2132.926674,2048.096869,4595.742927,3419.545937
70,3221.793008,2762.609334,3024.301511,2457.482405,5245.829289,4046.212431
80,3857.202529,3051.377286,3524.029406,2272.806693,5584.619161,4284.717975
90,4145.69871,3660.210804,3961.076605,3094.970162,6742.028986,4830.917874
100,4899.960011,4179.874541,4428.721073,3029.270355,7144.909506,5458.470649
110,5905.517263,5305.395328,4984.758877,3488.394039,8729.476182,5938.063911
120,6077.982105,5426.466954,5800.363399,4081.145608,10229.49726,6897.814088
130,6391.787429,5769.409806,6115.844394,5154.852321,11525.82006,8909.467861
140,7003.823635,6769.033925,6307.870937,6219.659337,11945.29199,9705.639816
150,6933.10592,7025.564936,6404.883118,7207.133564,13150.52844,10721.04881
160,6928.600719,6699.548578,6918.574744,8887.109004,14054.65248,11452.25059
170,7365.336471,7276.676969,6892.093636,9825.072987,14440.54892,12966.11662
180,7777.589315,7220.955614,7439.681778,10382.9472,15786.17301,12670.78839
190,8986.213144,8111.973115,7967.890123,11799.1233,16199.06802,15057.9328
200,10035.13537,9342.397483,8997.94492,12930.89655,17688.9566,15450.67491
210,11900.6444,10572.47968,10812.50069,13999.26539,19102.80313,16507.81803
220,13008.12796,12338.41522,13060.81224,14423.32607,22110.61791,18835.81139
230,13237.04027,13147.74225,13634.26938,15611.27677,25832.45012,21519.34449
240,12652.15091,12156.3876,12971.22518,17016.07706,29606.7144,25613.96487
250,10659.44713,10925.16142,12166.87238,19423.05323,35240.58216,27421.23284
260,9088.225874,8886.707695,10624.18818,21613.43685,42647.55848,35061.77367
270,7381.796368,7595.519772,8771.606666,24529.29637,47033.46303,41009.1231
280,6788.924961,7074.814303,6866.220532,29252.4511,54162.56099,45599.43848
290,6473.666879,6298.228282,6505.17512,35552.61425,56815.43476,51105.03759
300,5811.902525,5679.873185,5748.988075,40543.66732,58269.3098,54224.43801
310,5827.679354,5365.069223,5373.778645,45624.28989,56448.79996,55903.78788
320,5841.083929,5490.36395,5320.75961,51347.99637,59315.18076,53224.34046
330,5819.59001,5617.442795,5526.156682,56628.47501,62249.41172,55862.93829
340,5792.484203,5570.25445,5830.531805,59215.01168,63167.0614,62572.2919
350,5844.231583,5596.842157,5679.014192,59698.55616,64271.99726,60977.52229
360,5869.23732,5632.924171,5534.482522,59644.11939,69619.15366,64322.82652
370,6279.763984,5829.030231,5901.892349,62399.62247,73926.85932,64516.89259
380,6423.841192,6033.019224,5765.696642,67522.6848,76833.66825,68951.10137
390,6328.570059,6209.550121,6061.576856,67566.0265,77860.94581,73309.51857
400,6643.168776,6573.168776,6449.620389,69948.72433,80445.63791,75079.85
410,7020.83765,6801.537769,6457.452674,75305.13476,84285.18527,77952.68684
420,7215.725167,7083.686332,6711.569979,78915.53705,89718.58011,81832.07673
430,7792.104266,7415.866423,6887.463636,83286.16708,92427.36068,83387.84178
440,7792.271389,7832.858512,7160.302037,88204.86053,94110.87238,86468.00974
450,8316.894516,8143.692866,7567.336181,91034.2178,97174.7273,89703.37392
460,8566.348901,8183.642283,7943.343098,93493.10357,99939.62563,92908.66856
470,8570.115156,8395.345007,8182.865269,96340.13121,101048.5744,96469.74031
480,9006.420828,8680.107832,8146.242963,101416.445,99299.81917,100019.2122
490,9145.262231,9061.769634,8818.042036,100064.2058,100340.5261,100894.1291
500,9128.406723,9451.225278,8818.798182,104006.1726,101210.3689,103016.0338
510,9253.533168,9810.574,8827.314795,104858.4694,103510.3165,105381.1415
520,9844.258759,9687.292269,9277.299801,107546.3219,104653.328,104856.8196
530,9976.995237,9775.450648,9583.208688,109912.4273,107573.7276,106486.6733
540,10154.82274,9962.891247,9801.602743,111652.0145,109542.5975,109088.7817
550,10194.04337,10413.72407,9762.521316,115413.5189,113143.5005,103942.6316
560,10553.45677,9451.725482,9640.015199,111229.6728,112860.4822,109711.0254
570,9641.294782,9021.567298,8919.84316,114575.9178,116731.0577,109282.3023
580,9172.086327,8261.725432,7950.844603,113691.7644,113458.2492,113232.8691
590,8056.906874,7680.531318,7797.211826,117700.92,113299.1077,114642.8489
600,7600.320191,7182.26303,7320.599911,116498.3859,115631.7084,118176.6689
610,7120.468624,6656.05999,6835.129402,117925.6634,116128.7667,118312.4172
620,6877.889379,6182.757571,6347.901404,119400.8279,111514.3457,119810.6901
630,6315.435762,6057.101606,6071.760749,120651.2696,114254.0373,120691.6682
640,6007.823798,5858.951618,5735.065932,123336.5239,114039.4854,120214.7087
650,5601.805154,5410.986212,5150.3604,124493.758,112960.4624,117565.254
660,5461.617004,5020.352791,5328.398509,122866.4972,111779.4064,120024.9894
670,5135.0924,5003.939252,4897.103906,126540.865,110062.8509,120520.7583
680,4834.742463,4672.69331,4652.149406,124835.8139,111722.2355,123282.7762
690,4638.442532,4685.538363,4610.722358,124468.2858,106827.5556,120982.3002
700,4526.728146,4393.996656,4212.53434,127312.4293,108920.4786,118117.2871
710,4460.240253,4022.182418,4229.984863,126318.7444,105459.1305,118764.3106
720,4124.594044,3951.901997,4002.667778,130019.8308,107808.7369,118648.5946
730,3894.437236,3990.370841,3742.341804,127478.5114,106945.7303,120197.3697
740,4012.358709,3755.821882,3634.298541,125227.7216,105058.2649,113804.4705
750,3762.353735,3661.408044,3484.033577,121687.2065,105154.7489,114057.154
760,3668.887856,3562.297934,3367.795951,119445.8558,104009.0071,112801.4985
770,3540.888774,3383.804748,3384.53336,121190.9887,105829.9413,114296.9133
780,3408.7757,3304.711424,3248.017966,124282.9788,102095.9935,112427.7799
790,3318.472158,3148.823045,2975.436905,121618.6991,105256.6418,113154.405
800,3128.58295,3110.876204,2868.846363,121324.1215,103637.0059,111519.2492
810,3070.733765,3077.002618,2994.307945,121897.3758,102357.1308,109282.1308
820,3104.139312,2976.875232,2951.934984,122597.2282,103900.41,111517.2873
830,3120.404456,2938.955031,2697.642395,121935.8524,103087.5895,109458.607
840,2809.655369,2797.357435,2591.769022,118726.7597,100162.8961,110586.1493
850,2769.415744,2624.504777,2635.389355,120206.4102,99251.92327,106024.592
860,2669.738683,2685.697702,2550.169244,120491.2154,98700.01143,106323.2413
870,2523.480075,2505.676915,2500.809391,115719.1533,99216.55183,103884.2876
880,2553.852704,2296.489424,2520.902641,114035.9787,96440.40911,105911.6019
890,2409.577647,2434.89657,2370.935505,115586.5792,98195.14116,103681.2003
900,2328.442788,2407.868645,2396.548445,112934.9657,94478.04708,105656.5792
910,2263.722476,2267.117788,2113.289472,113685.4368,94302.60582,101769.619
920,2354.213332,2160.334917,2105.355202,112259.4558,94597.00867,104281.776
930,2158.546854,2109.808845,2075.184933,115292.2366,94657.06875,103072.516
940,2329.159815,2136.99372,2092.77372,112011.8262,94324.8345,101092.4123
950,2165.330836,2225.594489,2075.977223,110080.9272,92167.13915,100623.8944
960,2005.278297,2092.749709,1956.63111,109998.0466,91726.71878,99732.16386
970,1997.945,2032.941801,1774.761947,109200.2403,90688.035,99703.11764
980,1982.586389,1875.730782,1861.755112,107291.1164,90363.20715,100944.4476
990,1838.657882,1968.955162,1872.567031,105118.6824,88883.94774,97709.88401
1000,1748.372762,1791.794235,1765.149073,107470.2459,87295.26183,96758.96083
1010,1849.727649,1888.955002,1839.598465,105295.6728,86055.81374,96559.11413
1020,1871.470641,1771.400447,1771.576946,102896.6223,86396.7162,96470.33401
1030,1722.662443,1697.339762,1645.182989,102409.4691,85020.63573,93940.93014
1040,1560.14666,1695.00105,1576.53187,100925.3176,84568.8513,93244.8086
1050,1756.63757,1614.103759,1615.941469,103755.5223,83525.11724,90310.93731
1060,1620.050113,1546.042599,1557.055774,99564.56699,83863.08513,91063.84473
1070,1693.651837,1606.83865,1541.640741,100346.7131,80937.57976,89447.45691
1080,1655.594921,1606.181917,1453.44881,99434.28285,83383.70208,92026.77148
1090,1468.929943,1530.40774,1522.557607,97179.07675,78651.37785,89076.49897