,Open,Trans,Cis,Layered,Time
0,-57.396798603695245,95.32002480278352,91.38923850076117,-394.9859054802878,10
1,-59.90607706899855,-145.64978701518294,61.86339147610943,-80.27504081436682,20
2,250.35179185077442,139.57191327821738,379.56511238059454,361.88546128084624,30
3,682.4418022286551,668.7558821023422,525.0296155771487,1039.4993074474507,40
4,1093.6677032644775,1233.7958249090784,1066.9551492367282,1227.9490604854382,50
5,1253.1119312458065,1920.6752163550113,1610.9050824265248,1818.895560953238,60
6,1698.4907427436324,2822.201362057194,2032.110568127688,2628.6222752519557,70
7,3235.56436979027,4266.440998739086,2873.109048449105,4134.460716096102,80
8,3966.3510505348177,5421.137498667572,3790.0056682409863,5573.304426462472,90
9,5593.194085211957,6774.745387994961,4131.231673607149,6727.317541143278,100
10,7461.807532816795,8386.46614830779,5105.929190737385,8194.261002526702,110
11,8693.735195827005,9691.091713225896,6147.6592928887885,9593.266494963675,120
12,10502.918035756255,11778.460304366468,6713.827016230984,10883.665248426765,130
13,12075.013804611704,13085.975211627523,7766.721893121763,12452.718817022997,140
14,13565.552149258996,14962.176998974672,8742.246463984522,14190.448610720738,150
15,15036.769046117846,16367.638908579655,8858.979351899303,15706.39584188512,160
16,16635.446106088668,18286.121131125674,9240.125259077004,16837.219934280158,170
17,17863.74443910433,19492.438678733153,10060.870830977263,17669.517033399934,180
18,18540.591353065967,20907.35982578521,11304.935346955932,19775.135197137588,190
19,20180.85596235579,23316.200740361026,12500.986827854667,22494.38135295153,200
20,22142.452773901485,25040.09963309174,13253.1673700351,24528.286383849074,210
21,23959.73375046417,27896.151930815115,14273.877421891546,26775.0662409852,220
22,25484.75090425439,29957.76852616885,16301.700385002463,29278.55641508951,230
23,27176.033401418954,32791.72366299161,18423.947347095775,31960.193890094542,240
24,30187.60249212385,35897.1012875258,19489.22190025217,33366.8047168057,250
25,34306.8939334161,38353.490308207365,20959.713854882826,35323.9539158845,260
26,38299.556387315184,41302.96237269345,21853.122739612812,35938.48823974803,270
27,42862.6067081839,42858.847561292896,22638.589683292277,37168.93433497365,280
28,44394.145485050925,44071.315901051596,23956.856526646174,38240.67748896426,290
29,47940.37834306066,45813.03299654374,25227.4971589629,39271.49501551647,300
30,51435.25245381468,47364.065718086014,27088.15692216737,39743.87763092278,310
31,54623.36865172826,49396.344133307066,28139.661841220473,40639.83335314369,320
32,57194.481919767626,50980.0466884536,29581.425248515374,40979.7064853841,330
33,61029.62274763454,52153.283199819634,30687.94270108685,40811.74260519281,340
34,63440.35726368532,53026.88402557311,30674.398952376516,41170.57202640627,350
35,66098.20442720549,53364.96984947601,30743.423712891214,41682.35962618623,360
36,68684.66775313775,55360.89906712943,32331.562438873305,41554.50818500945,370
37,69475.2807068703,54203.23944776408,31996.068413301815,40983.575405421965,380
38,71061.1130274031,55083.25915277033,32587.127747706236,40592.43232391888,390
39,71515.80052741195,54324.761109808474,32428.249821516463,41272.758400062165,400
40,74247.79326429583,54856.95084803183,32330.051252104364,40952.23066138978,410
41,74148.23014153389,55392.12884415364,32348.68991084547,42157.21130833076,420
42,75841.74090330895,55470.844967130266,33070.254919185456,41914.011488894015,430
43,77249.918611358,56488.8891305843,33489.47675545015,42000.08907838001,440
44,77993.30121521124,58155.728379985594,34859.724337059866,42142.41107746375,450
45,80793.17178167553,59368.6430042461,35720.47137402584,43850.60272592727,460
46,83407.17545114672,60830.29755991814,38498.3609687627,43774.472234932204,470
47,86281.5531086529,61441.10815365105,38755.49497390833,44474.79269090215,480
48,89577.8490231223,62978.01762938065,38437.817547249375,45533.018624624376,490
49,92420.28175291428,64663.40573779934,40016.13014528219,46279.91460259581,500
50,93933.34731449762,66327.37038383496,40104.77401848168,46646.92902778736,510
51,94749.53817600648,67155.3495964474,41613.83008526078,47506.73171523407,520
52,95270.76233491261,67251.62095254908,42095.93773745988,47885.836673224185,530
53,94113.7212239691,70717.56663075821,42512.657342207225,47159.75703216046,540
54,95837.8502723729,70305.09352019861,43571.24752417703,47267.60116510783,550
55,96421.30510677032,71729.1782123908,44376.972259694856,47448.51738782528,560
56,96727.9528325292,71010.3102285675,44086.03097993393,46248.97319965086,570
57,98863.01426999705,70852.06049481388,44607.78027817702,46537.4638528744,580
58,101232.68617860114,70388.18341336814,45249.835903862106,46464.79301544345,590
59,100976.45174422683,72406.2457973393,45660.390174911576,46229.231361630525,600
60,101952.76698247113,72165.39097221766,46186.71140747509,46519.6144902294,610
61,103483.74692276456,71563.58058657029,45914.681224505526,45834.249758091304,620
62,105132.26386074601,72329.5347618555,44940.4008986752,45830.724887154014,630
63,105040.22624345915,72633.8696586192,45261.65654021752,45726.89418117689,640
64,105003.1921999765,72651.78836307768,45436.17480595153,46603.81661427358,650
65,105621.32218639953,72760.93341579307,44696.99912672826,46146.33760346426,660
66,105789.96018745715,74080.24772617816,44005.76743605609,45831.5521680401,670
67,104515.44539398146,73652.14507185247,43920.55718606815,45370.67693325006,680
68,103566.50675584147,73270.21701104022,43113.41559187014,45330.593287332405,690
69,103588.81227117023,74301.26467174017,42876.61042984556,44940.35429998265,700
70,103370.83105260138,72885.72825862435,42219.106906152,44635.74271533605,710
71,102969.77480944025,73932.41847588378,40957.784422169345,44397.25109204728,720
72,102255.71453105366,73498.50232832418,40946.66549428605,44352.90810489109,730
73,101268.591554002,72956.981725692,39780.492520973676,43426.79449734127,740
74,98253.8019768823,72594.21052239237,38120.819363714196,42759.63284821069,750
75,97357.33824345435,71539.35955875448,37464.47317600051,42263.481548292715,760
76,95668.6094569203,71732.14725958994,37009.77832111219,41822.24060233666,770
77,93740.17364187681,71360.16312523857,35648.866643966554,41400.49292098042,780
78,91895.49344878782,70791.99670097744,34817.32409565657,40820.47132085448,790
79,89993.0831078676,70045.01139588251,33886.959980305015,40277.26830432846,800
80,88168.01610516725,69336.07095530992,32804.8509876404,40122.58349366576,810
81,86201.1173884405,69120.8438694356,31796.555215272216,38915.93625630102,820
82,83807.15248134173,67730.6187585308,30971.60706864114,38482.792832658175,830
83,82175.46914602544,66799.1268247161,29601.036150173786,37931.12135120855,840
84,78587.95064278955,66058.22953332747,29050.26774106034,36959.05305571217,850
85,76122.13817079265,64946.15655226831,27803.01221718809,36184.31177734054,860
86,74196.70354245711,63844.46896336635,26920.733506865166,35065.91037789419,870
87,72523.46424283867,62007.894846488416,25982.275669938903,33955.76101859196,880
88,70460.39210829674,60840.34623110448,25460.788513453947,34092.468332771445,890
89,66867.63964420879,59811.25330697999,24183.990184669045,32670.642112920897,900
90,65615.78375115634,58014.80510312137,23492.912778385693,31889.926887915615,910
91,63572.764562164455,56564.78899776745,22767.542126313863,30813.854839886684,920
92,61457.1770795308,55586.838297556176,22175.165394047643,30477.78920038643,930
93,58820.39804115558,53874.58481719489,21599.1524792828,29366.275834557386,940
94,56774.075076642,52228.224468730376,20592.84481150252,28572.33872819502,950
95,55127.227445790966,51046.334008469516,20053.4646462481,27754.566497607284,960
